name,fclass,geometry
Kyam' s Restaurant,restaurant,POINT (32.7396794 0.3562724)
Touch of Class,restaurant,POINT (32.7397502 0.3564817)
The Little Donkey,restaurant,POINT (32.612307 0.3044312)
,atm,POINT (32.6057277 0.2913134)
Le Bougainviller,restaurant,POINT (32.6189022 0.3211715)
Hass Gass Station Restaurant,restaurant,POINT (32.6146703 0.2767163)
Pan Dental Surgery,dentist,POINT (32.575235 0.324388)
Hope Integrated Academy,school,POINT (31.4167506 -0.3965108)
Nursery School,kindergarten,POINT (31.4070271 -0.3993316)
Bagonza Primary School,school,POINT (31.3898952 -0.3679834)
Balimanyankya Government School (primary school and church),school,POINT (31.4084349 -0.3956283)
Government Primary School and Church,school,POINT (31.4048411 -0.3959426)
Bright Stars Primary private school,school,POINT (31.4073119 -0.4002387)
Namwera Drug Shop,pharmacy,POINT (32.6120936 0.3046281)
Life and Day Care Nursery School,school,POINT (32.6135308 0.3076696)
,pharmacy,POINT (32.6127879 0.3077957)
